# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
LYCPN,Licopeno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LYS,Lisina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MALS,Maltose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MET,Metionina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MG,Magnésio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MN,Manganés,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MO,Molibdénio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NA,Sódio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NACL,Sal (cloreto de sódio),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NI,Níquel,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIA,Niacina (ácido nicotínico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIAEQ,Equivalentes de niacina (triptofano + niacina),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIATRP,Triptofano por 60 (equivalente de niacina),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NITR,Nitrato,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NT,Azoto total,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OA,Ácidos orgânicos totais,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OLSAC,Oligossacáridos (totais),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ORN,Ornitina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OSMOL,Osmolalidade,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
P,Fósforo,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PANTAC,Ácido pantoténico (vitamina B5),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PB,Chumbo,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PHE,Fenilalanina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PHYTAC,Fitato (ácido fítico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
POLYL,Polióis totais (álcoois de açúcar),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PRO,Prolina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PROCNT,Proteínas,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
RETOL,Retinol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
RIBF,Riboflavina (vitamina B2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SE,Selénio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SER,Serina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
STARCH,Amido,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
STEROL,Fitosteróis totais,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SUCS,Sacarose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SUGAR,Açúcares,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TAURN,Taurina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THEBRN,Teobromina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THEOF,Teofilina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THIA,Tiamina (vitamina B1),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THR,Treonina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHA,Alfa-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHB,Beta-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHD,Delta-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHG,Gama-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCTRA,Tocoferóis totais,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TRP,Triptofano,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TYR,Tirosina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
V,Vanádio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VAL,Valina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITA,Vitamina A (equivalentes de retinol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITA_RAE,Vitamina A (equivalentes de atividade de retinol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB12,Vitamina B12 (cobalamina),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB6A,Vitamina B6 (total),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB6C,Piridoxina (vitamina B6),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITC,Vitamina C (ácido ascórbico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITD,Vitamina D (total),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITE,Vitamina E (equivalentes de alfa-tocoferol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK,Vitamina K (total),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK1,Filoquinona (vitamina K1),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK2,Menaquinona (vitamina K2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
WATER,Água,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ZEA,Zeaxantina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ZN,Zinco,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
