# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
F22D6N3,Fettsäure 22:6 n-3 (DHA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F24D0,Fettsäure 24:0 (Lignocerinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F24D1,Fettsäure 24:1 c15 (Nervonsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F26D0,Fettsäure 26:0 (Cerotinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F4D0,Fettsäure 4:0 (Buttersäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F6D0,Fettsäure 6:0 (Capronsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F8D0,Fettsäure 8:0 (Caprylsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAMS,Einfach ungesättigte Fettsäuren,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAPU,Mehrfach ungesättigte Fettsäuren,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FASAT,Gesättigte Fettsäuren,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAT,Gesamtfett (Lipide),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FATCE,Gesamtfett (per Differenz),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FATRN,Trans-Fettsäuren,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FE,Eisen,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBC,Rohfaser,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBINS,Unlösliche Ballaststoffe,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBS,Lösliche Ballaststoffe,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBTG,Gesamtballaststoffe,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOL,Folat gesamt,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLAC,Folsäure (Anreicherung),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLDFE,Folat (Nahrungsfolat-Äquivalente),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLFD,Folat aus Lebensmitteln (intrinsisch),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FRUS,Fruktose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GALS,Galaktose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLN,Glutamin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLU,Glutaminsäure,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLUS,Glukose (Dextrose),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLX,Glutamin + Glutaminsäure,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLY,Glycin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HG,Quecksilber,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HIS,Histidin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HYP,Hydroxyprolin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ID,Iodid (Iod),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ILE,Isoleucin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
K,Kalium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LACS,Laktose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LEU,Leucin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LUTN,Lutein,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LYCPN,Lycopin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LYS,Lysin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MALS,Maltose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MET,Methionin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MG,Magnesium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MN,Mangan,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MO,Molybdän,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NA,Natrium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NACL,Salz (Natriumchlorid),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NI,Nickel,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIA,Niacin (Nicotinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIAEQ,Niacin-Äquivalente (Tryptophan + Niacin),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIATRP,Tryptophan pro 60 (Niacin-Äquivalent),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NITR,Nitrat,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NT,Gesamtstickstoff,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OA,Organische Säuren gesamt,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OLSAC,Oligosaccharide (gesamt),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ORN,Ornithin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OSMOL,Osmolalität,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
P,Phosphor,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PANTAC,Pantothensäure (Vitamin B5),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PB,Blei,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PHE,Phenylalanin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PHYTAC,Phytat (Phytinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
POLYL,Gesamtpolyole (Zuckeralkohole),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PRO,Prolin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PROCNT,Eiweiß,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
RETOL,Retinol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
RIBF,Riboflavin (Vitamin B2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SE,Selen,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SER,Serin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
STARCH,Stärke,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
STEROL,Phytosterole gesamt,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SUCS,Saccharose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SUGAR,Gesamtzucker (Summe der Einzelzucker),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TAURN,Taurin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THEBRN,Theobromin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THEOF,Theophyllin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THIA,Thiamin (Vitamin B1),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THR,Threonin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHA,Alpha-Tocopherol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHB,Beta-Tocopherol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHD,Delta-Tocopherol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHG,Gamma-Tocopherol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCTRA,Tocopherole gesamt,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TRP,Tryptophan,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TYR,Tyrosin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
V,Vanadium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VAL,Valin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITA,Vitamin A (Retinoläquivalente),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITA_RAE,Vitamin A (Retinol-Aktivitätsäquivalente),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB12,Vitamin B12 (Cobalamin),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB6A,Vitamin B6 (gesamt),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB6C,Pyridoxin (Vitamin B6),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITC,Vitamin C (Ascorbinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITD,Vitamin D (gesamt),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITE,Vitamin E (Alpha-Tocopherol-Äquivalente),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK,Vitamin K (gesamt),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK1,Phyllochinon (Vitamin K1),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK2,Menachinon (Vitamin K2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
WATER,Wasser,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ZEA,Zeaxanthin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ZN,Zink,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
