# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
F20D5N3,Ácido graso 20:5 n-3 (EPA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D0,Ácido graso 22:0 (beénico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D1,Ácido graso 22:1 (erúcico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D5N3,Ácido graso 22:5 n-3 (DPA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D6N3,Ácido graso 22:6 n-3 (DHA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F24D0,Ácido graso 24:0 (lignocérico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F24D1,Ácido graso 24:1 c15 (nervónico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F26D0,Ácido graso 26:0 (cerótico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F4D0,Ácido graso 4:0 (butírico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F6D0,Ácido graso 6:0 (caproico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F8D0,Ácido graso 8:0 (caprílico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAMS,Ácidos grasos monoinsaturados,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAPU,Ácidos grasos poliinsaturados,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FASAT,Ácidos grasos saturados,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAT,Lípidos totales (grasa),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FATCE,Lípidos totales (por diferencia),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FATRN,Ácidos grasos trans,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FE,Hierro,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBC,Fibra bruta,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBINS,Fibra alimentaria insoluble,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBS,Fibra alimentaria soluble,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBTG,Fibra alimentaria total,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOL,Folatos totales,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLAC,Ácido fólico (fortificación),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLDFE,Folatos (equivalentes de folato dietético),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLFD,Folatos alimentarios (intrínsecos),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FRUS,Fructosa,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GALS,Galactosa,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLN,Glutamina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLU,Ácido glutámico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLUS,Glucosa (dextrosa),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLX,Glutamina + ácido glutámico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLY,Glicina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HG,Mercurio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HIS,Histidina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HYP,Hidroxiprolina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ID,Yoduro (yodo),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ILE,Isoleucina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
K,Potasio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LACS,Lactosa,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LEU,Leucina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LUTN,Luteína,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LYCPN,Licopeno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LYS,Lisina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MALS,Maltosa,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MET,Metionina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MG,Magnesio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MN,Manganeso,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
MO,Molibdeno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NA,Sodio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NACL,Sal (cloruro de sodio),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NI,Níquel,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIA,Niacina (ácido nicotínico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIAEQ,Equivalentes de niacina (triptófano + niacina),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NIATRP,Triptófano por 60 (equivalente de niacina),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NITR,Nitrato,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
NT,Nitrógeno total,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OA,Ácidos orgánicos totales,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OLSAC,Oligosacáridos (totales),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ORN,Ornitina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
OSMOL,Osmolalidad,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
P,Fósforo,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PANTAC,Ácido pantoténico (vitamina B5),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PB,Plomo,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PHE,Fenilalanina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PHYTAC,Fitato (ácido fítico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
POLYL,Polioles totales (alcoholes de azúcar),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PRO,Prolina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
PROCNT,Proteínas,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
RETOL,Retinol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
RIBF,Riboflavina (vitamina B2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SE,Selenio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SER,Serina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
STARCH,Almidón,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
STEROL,Fitosteroles totales,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SUCS,Sacarosa,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
SUGAR,Azúcares totales (suma de azúcares individuales),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TAURN,Taurina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THEBRN,Teobromina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THEOF,Teofilina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THIA,Tiamina (vitamina B1),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
THR,Treonina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHA,Alfa-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHB,Beta-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHD,Delta-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCPHG,Gamma-tocoferol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TOCTRA,Tocoferoles totales,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TRP,Triptófano,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
TYR,Tirosina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
V,Vanadio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VAL,Valina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITA,Vitamina A (equivalentes de retinol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITA_RAE,Vitamina A (equivalentes de actividad de retinol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB12,Vitamina B12 (cobalamina),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB6A,Vitamina B6 (total),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITB6C,Piridoxina (vitamina B6),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITC,Vitamina C (ácido ascórbico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITD,Vitamina D (total),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITE,Vitamina E (equivalentes de alfa-tocoferol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK,Vitamina K (total),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK1,Filoquinona (vitamina K1),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
VITK2,Menaquinona (vitamina K2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
WATER,Agua,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ZEA,Zeaxantina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ZN,Zinc,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
